country,country_iso,year,sex,age,suicides_no,population,suicides/100k pop,gdp_for_year($),gdp_per_capita($)
Albania,ALB,1996,male,5-14 years,2,380400,0.53,3314898292,1127
Albania,ALB,1996,male,15-24 years,17,243600,6.98,3314898292,1127
Albania,ALB,1996,male,25-34 years,14,235300,5.95,3314898292,1127
Albania,ALB,1996,male,35-54 years,12,379600,3.16,3314898292,1127
Albania,ALB,1996,male,55-74 years,3,179900,1.67,3314898292,1127
Albania,ALB,1996,male,75+ years,2,25400,7.87,3314898292,1127
Albania,ALB,1996,female,5-14 years,1,354100,0.28,3314898292,1127
Albania,ALB,1996,female,15-24 years,16,287700,5.56,3314898292,1127
Albania,ALB,1996,female,25-34 years,10,267900,3.73,3314898292,1127
Albania,ALB,1996,female,35-54 years,9,362000,2.49,3314898292,1127
Albania,ALB,1996,female,55-74 years,1,183100,0.55,3314898292,1127
Albania,ALB,1996,female,75+ years,2,41200,4.85,3314898292,1127
Albania,ALB,1997,male,5-14 years,4,381500,1.05,2359903108,793
Albania,ALB,1997,male,15-24 years,33,244400,13.5,2359903108,793
Albania,ALB,1997,male,25-34 years,36,236000,15.25,2359903108,793
Albania,ALB,1997,male,35-54 years,30,380800,7.88,2359903108,793
Albania,ALB,1997,male,55-74 years,12,180300,6.66,2359903108,793
Albania,ALB,1997,male,75+ years,3,25400,11.81,2359903108,793
Albania,ALB,1997,female,5-14 years,6,361800,1.66,2359903108,793
Albania,ALB,1997,female,15-24 years,21,294000,7.14,2359903108,793
Albania,ALB,1997,female,25-34 years,16,273900,5.84,2359903108,793
Albania,ALB,1997,female,35-54 years,7,370100,1.89,2359903108,793
Albania,ALB,1997,female,55-74 years,0,187000,0,2359903108,793
Albania,ALB,1997,female,75+ years,2,42100,4.75,2359903108,793
Albania,ALB,1998,male,5-14 years,2,388400,0.51,2707123772,899
Albania,ALB,1998,male,15-24 years,27,248800,10.85,2707123772,899
Albania,ALB,1998,male,25-34 years,26,240400,10.82,2707123772,899
Albania,ALB,1998,male,35-54 years,29,388200,7.47,2707123772,899
Albania,ALB,1998,male,55-74 years,9,183800,4.9,2707123772,899
Albania,ALB,1998,male,75+ years,3,25800,11.63,2707123772,899
Albania,ALB,1998,female,5-14 years,1,363800,0.27,2707123772,899
Albania,ALB,1998,female,15-24 years,32,295600,10.83,2707123772,899
Albania,ALB,1998,female,25-34 years,10,275300,3.63,2707123772,899
Albania,ALB,1998,female,35-54 years,9,372100,2.42,2707123772,899
Albania,ALB,1998,female,55-74 years,6,188200,3.19,2707123772,899
Albania,ALB,1998,female,75+ years,0,42300,0,2707123772,899
Albania,ALB,1999,male,5-14 years,0,391300,0,3414760915,1127
Albania,ALB,1999,male,15-24 years,24,250600,9.58,3414760915,1127
Albania,ALB,1999,male,25-34 years,19,242300,7.84,3414760915,1127
Albania,ALB,1999,male,35-54 years,31,391100,7.93,3414760915,1127
Albania,ALB,1999,male,55-74 years,14,185200,7.56,3414760915,1127
Albania,ALB,1999,male,75+ years,3,25900,11.58,3414760915,1127
Albania,ALB,1999,female,5-14 years,1,365200,0.27,3414760915,1127
Albania,ALB,1999,female,15-24 years,19,296800,6.4,3414760915,1127
Albania,ALB,1999,female,25-34 years,13,276500,4.7,3414760915,1127
Albania,ALB,1999,female,35-54 years,5,373600,1.34,3414760915,1127
Albania,ALB,1999,female,55-74 years,6,188800,3.18,3414760915,1127
Albania,ALB,1999,female,75+ years,4,42400,9.43,3414760915,1127
Albania,ALB,2000,male,5-14 years,1,374900,0.27,3632043908,1299
Albania,ALB,2000,male,15-24 years,5,240000,2.08,3632043908,1299
Albania,ALB,2000,male,25-34 years,17,232000,7.33,3632043908,1299
Albania,ALB,2000,male,35-54 years,4,374700,1.07,3632043908,1299
Albania,ALB,2000,male,55-74 years,10,177400,5.64,3632043908,1299
Albania,ALB,2000,male,75+ years,1,24900,4.02,3632043908,1299
Albania,ALB,2000,female,5-14 years,0,324700,0,3632043908,1299
Albania,ALB,2000,female,15-24 years,6,263900,2.27,3632043908,1299
Albania,ALB,2000,female,25-34 years,3,245800,1.22,3632043908,1299
Albania,ALB,2000,female,35-54 years,5,332200,1.51,3632043908,1299
Albania,ALB,2000,female,55-74 years,0,168000,0,3632043908,1299
Albania,ALB,2000,female,75+ years,2,37800,5.29,3632043908,1299
Albania,ALB,2001,male,5-14 years,6,321556,1.87,4060758804,1451
Albania,ALB,2001,male,15-24 years,10,256039,3.91,4060758804,1451
Albania,ALB,2001,male,25-34 years,22,206484,10.65,4060758804,1451
Albania,ALB,2001,male,35-54 years,34,378826,8.98,4060758804,1451
Albania,ALB,2001,male,55-74 years,11,196670,5.59,4060758804,1451
Albania,ALB,2001,male,75+ years,1,31044,3.22,4060758804,1451
Albania,ALB,2001,female,5-14 years,2,307356,0.65,4060758804,1451
Albania,ALB,2001,female,15-24 years,9,271359,3.32,4060758804,1451
Albania,ALB,2001,female,25-34 years,4,222771,1.8,4060758804,1451
Albania,ALB,2001,female,35-54 years,12,370191,3.24,4060758804,1451
Albania,ALB,2001,female,55-74 years,6,189799,3.16,4060758804,1451
Albania,ALB,2001,female,75+ years,2,47254,4.23,4060758804,1451
Albania,ALB,2002,male,5-14 years,1,319473,0.31,4435078648,1573
Albania,ALB,2002,male,15-24 years,15,263067,5.7,4435078648,1573
Albania,ALB,2002,male,25-34 years,23,206286,11.15,4435078648,1573
Albania,ALB,2002,male,35-54 years,35,382139,9.16,4435078648,1573
Albania,ALB,2002,male,55-74 years,13,198130,6.56,4435078648,1573
Albania,ALB,2002,male,75+ years,4,31007,12.9,4435078648,1573
Albania,ALB,2002,female,5-14 years,1,304850,0.33,4435078648,1573
Albania,ALB,2002,female,15-24 years,14,275970,5.07,4435078648,1573
Albania,ALB,2002,female,25-34 years,7,223685,3.13,4435078648,1573
Albania,ALB,2002,female,35-54 years,15,375113,4,4435078648,1573
Albania,ALB,2002,female,55-74 years,4,191712,2.09,4435078648,1573
Albania,ALB,2002,female,75+ years,1,47407,2.11,4435078648,1573
Albania,ALB,2003,male,5-14 years,4,313204,1.28,5746945913,2021
Albania,ALB,2003,male,15-24 years,15,273235,5.49,5746945913,2021
Albania,ALB,2003,male,25-34 years,9,205433,4.38,5746945913,2021
