country,country_iso,year,sex,age,suicides_no,population,suicides/100k pop,gdp_for_year($),gdp_per_capita($),generation
Albania,ALB,2001,male,5-14 years,6,321556,1.87,4060758804,1451,Millenials
Albania,ALB,2001,male,15-24 years,10,256039,3.91,4060758804,1451,Millenials
Albania,ALB,2001,male,25-34 years,22,206484,10.65,4060758804,1451,Generation X
Albania,ALB,2001,male,35-54 years,34,378826,8.98,4060758804,1451,Boomers
Albania,ALB,2001,male,55-74 years,11,196670,5.59,4060758804,1451,Silent
Albania,ALB,2001,male,75+ years,1,31044,3.22,4060758804,1451,Silent
Albania,ALB,2001,female,5-14 years,2,307356,0.65,4060758804,1451,Millenials
Albania,ALB,2001,female,15-24 years,9,271359,3.32,4060758804,1451,Millenials
Albania,ALB,2001,female,25-34 years,4,222771,1.8,4060758804,1451,Generation X
Albania,ALB,2001,female,35-54 years,12,370191,3.24,4060758804,1451,Boomers
Albania,ALB,2001,female,55-74 years,6,189799,3.16,4060758804,1451,Silent
Albania,ALB,2001,female,75+ years,2,47254,4.23,4060758804,1451,Silent
Albania,ALB,2002,male,5-14 years,1,319473,0.31,4435078648,1573,Millenials
Albania,ALB,2002,male,15-24 years,15,263067,5.7,4435078648,1573,Millenials
Albania,ALB,2002,male,25-34 years,23,206286,11.15,4435078648,1573,Generation X
Albania,ALB,2002,male,35-54 years,35,382139,9.16,4435078648,1573,Boomers
Albania,ALB,2002,male,55-74 years,13,198130,6.56,4435078648,1573,Silent
Albania,ALB,2002,male,75+ years,4,31007,12.9,4435078648,1573,Silent
Albania,ALB,2002,female,5-14 years,1,304850,0.33,4435078648,1573,Millenials
Albania,ALB,2002,female,15-24 years,14,275970,5.07,4435078648,1573,Millenials
Albania,ALB,2002,female,25-34 years,7,223685,3.13,4435078648,1573,Generation X
Albania,ALB,2002,female,35-54 years,15,375113,4,4435078648,1573,Boomers
Albania,ALB,2002,female,55-74 years,4,191712,2.09,4435078648,1573,Silent
Albania,ALB,2002,female,75+ years,1,47407,2.11,4435078648,1573,Silent
Albania,ALB,2003,male,5-14 years,4,313204,1.28,5746945913,2021,Millenials
Albania,ALB,2003,male,15-24 years,15,273235,5.49,5746945913,2021,Millenials
Albania,ALB,2003,male,25-34 years,9,205433,4.38,5746945913,2021,Generation X
Albania,ALB,2003,male,35-54 years,28,386196,7.25,5746945913,2021,Boomers
Albania,ALB,2003,male,55-74 years,16,201520,7.94,5746945913,2021,Silent
Albania,ALB,2003,male,75+ years,1,32667,3.06,5746945913,2021,Silent
Albania,ALB,2003,female,5-14 years,0,298477,0,5746945913,2021,Millenials
Albania,ALB,2003,female,15-24 years,14,283709,4.93,5746945913,2021,Millenials
Albania,ALB,2003,female,25-34 years,9,222941,4.04,5746945913,2021,Generation X
Albania,ALB,2003,female,35-54 years,13,381760,3.41,5746945913,2021,Boomers
Albania,ALB,2003,female,55-74 years,9,195699,4.6,5746945913,2021,Silent
Albania,ALB,2003,female,75+ years,6,49088,12.22,5746945913,2021,Silent
Albania,ALB,2004,male,5-14 years,1,302181,0.33,7314865176,2544,Millenials
Albania,ALB,2004,male,15-24 years,19,286768,6.63,7314865176,2544,Millenials
Albania,ALB,2004,male,25-34 years,16,203938,7.85,7314865176,2544,Generation X
Albania,ALB,2004,male,35-54 years,39,391767,9.95,7314865176,2544,Boomers
Albania,ALB,2004,male,55-74 years,10,207202,4.83,7314865176,2544,Silent
Albania,ALB,2004,male,75+ years,4,35526,11.26,7314865176,2544,Silent
Albania,ALB,2004,female,5-14 years,3,286705,1.05,7314865176,2544,Millenials
Albania,ALB,2004,female,15-24 years,20,292268,6.84,7314865176,2544,Millenials
Albania,ALB,2004,female,25-34 years,11,222389,4.95,7314865176,2544,Generation X
Albania,ALB,2004,female,35-54 years,17,391436,4.34,7314865176,2544,Boomers
Albania,ALB,2004,female,55-74 years,3,203841,1.47,7314865176,2544,Silent
Albania,ALB,2004,female,75+ years,3,50970,5.89,7314865176,2544,Silent
Albania,ALB,2005,male,5-14 years,0,291367,0,8158548717,2931,Millenials
Albania,ALB,2005,male,15-24 years,0,281675,0,8158548717,2931,Millenials
Albania,ALB,2005,male,25-34 years,0,177519,0,8158548717,2931,Generation X
Albania,ALB,2005,male,35-54 years,0,380242,0,8158548717,2931,Boomers
Albania,ALB,2005,male,55-74 years,0,214118,0,8158548717,2931,Silent
Albania,ALB,2005,male,75+ years,0,38471,0,8158548717,2931,Silent
Albania,ALB,2005,female,5-14 years,0,276559,0,8158548717,2931,Millenials
Albania,ALB,2005,female,15-24 years,0,281922,0,8158548717,2931,Millenials
Albania,ALB,2005,female,25-34 years,0,190745,0,8158548717,2931,Generation X
Albania,ALB,2005,female,35-54 years,0,386513,0,8158548717,2931,Boomers
Albania,ALB,2005,female,55-74 years,0,210998,0,8158548717,2931,Silent
Albania,ALB,2005,female,75+ years,0,53191,0,8158548717,2931,Silent
Antigua and Barbuda,ATG,2001,male,5-14 years,0,7958,0,800740259,10468,Millenials
Antigua and Barbuda,ATG,2001,male,15-24 years,0,6084,0,800740259,10468,Millenials
Antigua and Barbuda,ATG,2001,male,25-34 years,0,7071,0,800740259,10468,Generation X
Antigua and Barbuda,ATG,2001,male,35-54 years,2,10281,19.45,800740259,10468,Boomers
Antigua and Barbuda,ATG,2001,male,55-74 years,0,3442,0,800740259,10468,Silent
Antigua and Barbuda,ATG,2001,male,75+ years,0,980,0,800740259,10468,Silent
Antigua and Barbuda,ATG,2001,female,5-14 years,0,8428,0,800740259,10468,Millenials
Antigua and Barbuda,ATG,2001,female,15-24 years,0,6902,0,800740259,10468,Millenials
Antigua and Barbuda,ATG,2001,female,25-34 years,0,8425,0,800740259,10468,Generation X
Antigua and Barbuda,ATG,2001,female,35-54 years,0,11402,0,800740259,10468,Boomers
Antigua and Barbuda,ATG,2001,female,55-74 years,0,4037,0,800740259,10468,Silent
Antigua and Barbuda,ATG,2001,female,75+ years,0,1487,0,800740259,10468,Silent
Antigua and Barbuda,ATG,2002,male,5-14 years,0,7980,0,814615333,10499,Millenials
Antigua and Barbuda,ATG,2002,male,15-24 years,0,6416,0,814615333,10499,Millenials
Antigua and Barbuda,ATG,2002,male,25-34 years,0,6921,0,814615333,10499,Generation X
Antigua and Barbuda,ATG,2002,male,35-54 years,0,10604,0,814615333,10499,Boomers
Antigua and Barbuda,ATG,2002,male,55-74 years,0,3527,0,814615333,10499,Silent
Antigua and Barbuda,ATG,2002,male,75+ years,0,1024,0,814615333,10499,Silent
Antigua and Barbuda,ATG,2002,female,5-14 years,0,8408,0,814615333,10499,Millenials
Antigua and Barbuda,ATG,2002,female,15-24 years,0,7196,0,814615333,10499,Millenials
Antigua and Barbuda,ATG,2002,female,25-34 years,0,8155,0,814615333,10499,Generation X
Antigua and Barbuda,ATG,2002,female,35-54 years,0,11760,0,814615333,10499,Boomers
Antigua and Barbuda,ATG,2002,female,55-74 years,0,4050,0,814615333,10499,Silent
Antigua and Barbuda,ATG,2002,female,75+ years,0,1547,0,814615333,10499,Silent
Antigua and Barbuda,ATG,2003,male,5-14 years,0,8061,0,855643111,10878,Millenials
Antigua and Barbuda,ATG,2003,male,15-24 years,0,6730,0,855643111,10878,Millenials
Antigua and Barbuda,ATG,2003,male,25-34 years,0,6734,0,855643111,10878,Generation X
Antigua and Barbuda,ATG,2003,male,35-54 years,0,10997,0,855643111,10878,Boomers
Antigua and Barbuda,ATG,2003,male,55-74 years,1,3594,27.82,855643111,10878,Silent
Antigua and Barbuda,ATG,2003,male,75+ years,0,1068,0,855643111,10878,Silent
Antigua and Barbuda,ATG,2003,female,5-14 years,0,8423,0,855643111,10878,Millenials
Antigua and Barbuda,ATG,2003,female,15-24 years,0,7454,0,855643111,10878,Millenials
Antigua and Barbuda,ATG,2003,female,25-34 years,0,7831,0,855643111,10878,Generation X
Antigua and Barbuda,ATG,2003,female,35-54 years,0,12129,0,855643111,10878,Boomers
Antigua and Barbuda,ATG,2003,female,55-74 years,0,4054,0,855643111,10878,Silent
Antigua and Barbuda,ATG,2003,female,75+ years,0,1583,0,855643111,10878,Silent
Antigua and Barbuda,ATG,2004,male,5-14 years,0,8196,0,919577148,11535,Millenials
Antigua and Barbuda,ATG,2004,male,15-24 years,0,6968,0,919577148,11535,Millenials
Antigua and Barbuda,ATG,2004,male,25-34 years,0,6556,0,919577148,11535,Generation X
Antigua and Barbuda,ATG,2004,male,35-54 years,1,11406,8.77,919577148,11535,Boomers
Antigua and Barbuda,ATG,2004,male,55-74 years,1,3665,27.29,919577148,11535,Silent
Antigua and Barbuda,ATG,2004,male,75+ years,0,1094,0,919577148,11535,Silent
Antigua and Barbuda,ATG,2004,female,5-14 years,0,8488,0,919577148,11535,Millenials
Antigua and Barbuda,ATG,2004,female,15-24 years,0,7648,0,919577148,11535,Millenials
Antigua and Barbuda,ATG,2004,female,25-34 years,0,7531,0,919577148,11535,Generation X
