country,country_iso,year,sex,age,suicides_no,population,suicides/100k pop,gdp_for_year($),gdp_per_capita($),generation
Argentina,ARG,2011,male,5-14 years,28,3592374,0.78,5.30E+11,13946,Generation Z
Argentina,ARG,2011,male,15-24 years,693,3471151,19.96,5.30E+11,13946,Millenials
Argentina,ARG,2011,male,25-34 years,510,3258804,15.65,5.30E+11,13946,Millenials
Argentina,ARG,2011,male,35-54 years,504,4738525,10.64,5.30E+11,13946,Generation X
Argentina,ARG,2011,male,55-74 years,416,2788575,14.92,5.30E+11,13946,Boomers
Argentina,ARG,2011,male,75+ years,178,674738,26.38,5.30E+11,13946,Silent
Argentina,ARG,2011,female,5-14 years,29,3472180,0.84,5.30E+11,13946,Generation Z
Argentina,ARG,2011,female,15-24 years,172,3372659,5.1,5.30E+11,13946,Millenials
Argentina,ARG,2011,female,25-34 years,102,3224774,3.16,5.30E+11,13946,Millenials
Argentina,ARG,2011,female,35-54 years,157,4893085,3.21,5.30E+11,13946,Generation X
Argentina,ARG,2011,female,55-74 years,93,3268753,2.85,5.30E+11,13946,Boomers
Argentina,ARG,2011,female,75+ years,30,1260121,2.38,5.30E+11,13946,Silent
Armenia,ARM,2011,male,5-14 years,0,189377,0,10142111334,3798,Generation Z
Armenia,ARM,2011,male,15-24 years,7,245227,2.85,10142111334,3798,Millenials
Armenia,ARM,2011,male,25-34 years,8,209914,3.81,10142111334,3798,Millenials
Armenia,ARM,2011,male,35-54 years,23,341199,6.74,10142111334,3798,Generation X
Armenia,ARM,2011,male,55-74 years,11,194982,5.64,10142111334,3798,Boomers
Armenia,ARM,2011,male,75+ years,2,55565,3.6,10142111334,3798,Silent
Armenia,ARM,2011,female,5-14 years,0,164004,0,10142111334,3798,Generation Z
Armenia,ARM,2011,female,15-24 years,4,259823,1.54,10142111334,3798,Millenials
Armenia,ARM,2011,female,25-34 years,0,244912,0,10142111334,3798,Millenials
Armenia,ARM,2011,female,35-54 years,3,422179,0.71,10142111334,3798,Generation X
Armenia,ARM,2011,female,55-74 years,3,256541,1.17,10142111334,3798,Boomers
Armenia,ARM,2011,female,75+ years,6,86643,6.92,10142111334,3798,Silent
Aruba,ABW,2011,male,5-14 years,0,7324,0,2584463687,27066,Generation Z
Aruba,ABW,2011,male,15-24 years,1,6706,14.91,2584463687,27066,Millenials
Aruba,ABW,2011,male,25-34 years,0,5440,0,2584463687,27066,Millenials
Aruba,ABW,2011,male,35-54 years,3,15388,19.5,2584463687,27066,Generation X
Aruba,ABW,2011,male,55-74 years,3,8940,33.56,2584463687,27066,Boomers
Aruba,ABW,2011,male,75+ years,0,1505,0,2584463687,27066,Silent
Aruba,ABW,2011,female,5-14 years,0,7064,0,2584463687,27066,Generation Z
Aruba,ABW,2011,female,15-24 years,0,6272,0,2584463687,27066,Millenials
Aruba,ABW,2011,female,25-34 years,1,6264,15.96,2584463687,27066,Millenials
Aruba,ABW,2011,female,35-54 years,0,17691,0,2584463687,27066,Generation X
Aruba,ABW,2011,female,55-74 years,1,10536,9.49,2584463687,27066,Boomers
Aruba,ABW,2011,female,75+ years,0,2358,0,2584463687,27066,Silent
Australia,AUS,2011,male,5-14 years,7,1423748,0.49,1.39E+12,66770,Generation Z
Australia,AUS,2011,male,15-24 years,242,1570069,15.41,1.39E+12,66770,Millenials
Australia,AUS,2011,male,25-34 years,347,1610295,21.55,1.39E+12,66770,Millenials
Australia,AUS,2011,male,35-54 years,704,3072726,22.91,1.39E+12,66770,Generation X
Australia,AUS,2011,male,55-74 years,366,2104816,17.39,1.39E+12,66770,Boomers
Australia,AUS,2011,male,75+ years,146,588053,24.83,1.39E+12,66770,Silent
Australia,AUS,2011,female,5-14 years,9,1351751,0.67,1.39E+12,66770,Generation Z
Australia,AUS,2011,female,15-24 years,93,1495053,6.22,1.39E+12,66770,Millenials
Australia,AUS,2011,female,25-34 years,85,1584036,5.37,1.39E+12,66770,Millenials
Australia,AUS,2011,female,35-54 years,230,3124328,7.36,1.39E+12,66770,Generation X
Australia,AUS,2011,female,55-74 years,118,2139108,5.52,1.39E+12,66770,Boomers
Australia,AUS,2011,female,75+ years,45,817927,5.5,1.39E+12,66770,Silent
Austria,AUT,2011,male,5-14 years,3,428198,0.7,4.31E+11,53923,Generation Z
Austria,AUT,2011,male,15-24 years,67,518095,12.93,4.31E+11,53923,Millenials
Austria,AUT,2011,male,25-34 years,97,546027,17.76,4.31E+11,53923,Millenials
Austria,AUT,2011,male,35-54 years,336,1292255,26,4.31E+11,53923,Generation X
Austria,AUT,2011,male,55-74 years,276,855700,32.25,4.31E+11,53923,Boomers
Austria,AUT,2011,male,75+ years,196,245207,79.93,4.31E+11,53923,Silent
Austria,AUT,2011,female,5-14 years,1,407570,0.25,4.31E+11,53923,Generation Z
Austria,AUT,2011,female,15-24 years,23,498172,4.62,4.31E+11,53923,Millenials
Austria,AUT,2011,female,25-34 years,23,542031,4.24,4.31E+11,53923,Millenials
Austria,AUT,2011,female,35-54 years,95,1288452,7.37,4.31E+11,53923,Generation X
Austria,AUT,2011,female,55-74 years,113,942311,11.99,4.31E+11,53923,Boomers
Austria,AUT,2011,female,75+ years,58,431128,13.45,4.31E+11,53923,Silent
Bahamas,BHS,2011,male,5-14 years,0,27054,0,10070450000,29761,Generation Z
Bahamas,BHS,2011,male,15-24 years,1,32343,3.09,10070450000,29761,Millenials
Bahamas,BHS,2011,male,25-34 years,0,28997,0,10070450000,29761,Millenials
Bahamas,BHS,2011,male,35-54 years,1,50932,1.96,10070450000,29761,Generation X
